"Any","Trimestre","Preu lloguer","Renda per capita"
2015,"1",702.0,1671.25
2015,"2",713.9,1671.25
2015,"3",765.2,1671.25
2015,"4",755.1,1671.25
2016,"1",755.2,1727.75
2016,"2",774.1,1727.75
2016,"3",826.1,1727.75
2016,"4",843.4,1727.75
2017,"1",845.1,1746.33
2017,"2",865.0,1746.33
2017,"3",903.4,1746.33
2017,"4",889.6,1746.33
2018,"1",897.9,1790.33
2018,"2",916.3,1790.33
2018,"3",948.9,1790.33
2018,"4",954.3,1790.33
2019,"1",944.4,1827.87
2019,"2",968.9,1827.87
2019,"3",1005.8,1827.87
2019,"4",995.6,1827.87
2020,"1",980.5,1865.452
2020,"2",960.1,1865.452
2020,"3",979.4,1865.452
2020,"4",939.1,1865.452
2021,"1",905.4,1903.034
2021,"2",903.3,1903.034